id,rating_1,rating_2,condition,mode,condition_mode,station,transcription
2,1,3,Avatar,Hybrid,AvatarHybrid,2,jetzt muss musste ich fürvellsammeln die waren verschiedenen positionier und a dafür musste ich mich erstens o entsprechend a in der dritten posiz person positionieren und dann in der erste person mit den objekten interragieren am manchmal wollte ich dass aus der dritten person machen und dann habe ich das gemerkt dass das o nicht geht und ich musste in der ersten person wechseln und nachdem man a ein objekt genommen hat konnte man es weiter in der dritten person halten ich habe es auch versucht die würfel om aus der dritten person in der kiste zu werfen dashat geklapbt und ich hab das auch versucht in der er st en person zu wechseln am und dann das auch die den würfel aus der ersten person zu werfen beides hat geklabt om un tom ja das vor
2,1,1,Avatar,Firstperson,AvatarFirstperson,4,in diesem abschnitt musste ich eine erstens eine ersten treppen hochgehen dann om runtergehen das waren keine treppern das warein ebener weg aber er war o im kreis unde das war schwierig o es war ein wenig schwierig dar horüberzugehen weil  wenn man beide kontroller auf einmal benutzt auch die disblickwinkel auch die bdie bewegung o das schnell oo dasurman sich nicht ubei den gut bewegen konnte unde eso fühlte sich auch nicht gut an om danach musste ich ein om musste ich mit einem aufzug auf einem gebäude hochfahren und dann wiederrunterfahren unde man konnte die ganze zeit  eine landschaft sehen die de die sich immer wiederum sie um dich selbst also man konnt wenn man sich bewegte konntennt man sie sehen
2,3,3,Avatar,Hybrid,AvatarHybrid,3,jetzt musste ich m wieder denselben durchlauf wie beim letzten experiment o ja der letzte durchlaufvardis und a man musste wieder auf osich auf amanfang sich auf einem bodenplatzieren dieser bewegte sich man musste wieder auf dem festenboden aussteigen und dann das wider wiederholen dann musste man einen aufzug obenutzen om dann musste man wiederauf einem solcheram bewegenden boden aufsteigen une dann aussteigenden wurde man in einem in einer kiste gestellt und die hat sichung gedreht und hat tih auf der anderen seite gebracht am und danach musste man wieder auf einem bewegenen boden chinun zurückgehen bis man irgendwie a auf der anderen seite gelassen wurde am das habe ich nicht verstanden wie das funktioniert hat am es war o ein wenig ungewohnt so weit von der gesteuerten puppe a dass s ich mich so weiter von der puppe befinde aber es war auch einfacher zu sehen wo sich meine beine befindet wol sich meine beine befinden soals ich die puppe gesehen habe und es war leichter die bö auf den böden ae aufzusteigen und ausschlüssen zu steigen
2,1,1,Avatar,Firstperson,AvatarFirstperson,1,ich musste einen geschlängelten weg durchlaufen dazu musste ich wieder o mich mit einem kontroller mein blickwinkel bewegen und mit em anderen kontroller a meine richtung um nachdem ich o mein blickwinkel gut entsprechende gelegt habe aar es ganz einfach o inder entsprechenden a nachvorne mit dem anderen kontroller ozu den a anderen kontrollern nach vorne zu drücken und somit o den dempweg zu folgen
2,3,3,Avatar,Hybrid,AvatarHybrid,0,ich musste eine ofürel aufheben und in in einer kistetragen untertweerwegwerfern am allerdings ofrdiobewegung nur in der dritten person möglich und die aktionen mit den objekten  also das greifen o war nur in der ersten person möglich trotz den konteman in der dritten person dass genommene objekt noch festhalten und in auc fallen lassen am es schien als o man eine puppe bewegt b allerdings waren die bewegungen  die man mit den händen zum beispiel gemacht hat o ziemlich ähnlich mit meinen bewegungen also as schinalzäub ich ein spiegelbild habe
2,1,1,Avatar,Firstperson,AvatarFirstperson,0,ich musste aeine kiste ein würfall nehmen und in einer kiste tragen dafür konnte ich mit einem kontroller meinen blickwinkel verändern under mit dem anderen kontroller konnte ich mich im raum in der entsprechenden richtung bewegen wenn ich die ajasix in der entsprechenden richtung bewegt habe
2,1,1,Avatar,Firstperson,AvatarFirstperson,3,in diesem abschnitt gab es ganz viele bewegende böden als ersten o warenes verschiedene schwebende teile auf denen ich aufsteigen musste und dann auf einem festen bodenteil landen musste und dann das widermachen o dann musste ich einen aufzug nehmen o und  danach musste e soweit ich mich erinnere abin ich in einemo irgendwie in einer kiste gegangen und die hat sich gedreht und  mich dann auf der anderen seite gebracht  dass awahr ziemlich verwirren ich wusste nicht was da passiert ist und wir ich von einer seite auf der anderen gelandet bin am danach war es om war es noch also ein bewegender boden der eigentlich er sich vorundrückwwerts ganz wenig bewegt hat und auf dem musste ich auch gehen das hat irgendwie geklaubt ich bin mir aber nicht sicher wie danach musste ich einen aufzug a den aufzug nach untern benutzern und dawar ich ansziel
2,3,3,Avatar,Hybrid,AvatarHybrid,1,ich musste gerade einen geschlängelten weg durchgehen am daum ich da darin zu bewegen musste e o ich mich in der drittendperson befinden und ir mit meinen oblickwinkeln und der richtung in dem linken und rechten kontroller die puppe osteuern die vor mir war a ich hab mich immer gefühlt als ob ich irgendwie mit meinen bebwegungen odie o diese figur schiebe und dasie o wie stark ich geschoben habe oder in welcher errichtung ich geschoben habe sie hat sich oja so bewegt wie ich das wollte aber oich war hintern euch hinter ihr weit hinter ihr om ansonsten war das o war es ziemlich nach vollzieber und man konnte den weg gut folgen
2,1,1,Avatar,Hybrid,AvatarHybrid,4,zuerst musste ich treppotreppon aufgehen das war o ziemlich einfach weil ich  immer gesehen habe wo sich meine beyne befunden haben also die weine der gesteurten personbefunden haben aich war irgendwie hintern und  als menam o links gebogen hat oder so etwas hab ich mich manchmal auch in der luft befunden soalzsteuerperson a dann musste ich a runter gehen und dafür musste man einen awegbewegende benutzen der am sich im kreis gedreht hat das war ziemlich scw ierig om dadurch zu gehen weil a ich mich am anfang ein wenig oberhalb der figur befunden habe o befunden habe und dann a war ich plötzlich ein wenig unterhalb der figur und da meine perspektive warverschieden und deswegen war es auch schwierig die person zu steuern am und ich hatte immer das gefühl als ob ich die welt um mich bewegen soll nicht  nicht dass ich mein blickwinkel bewege sondern dass ich die welt um mich o dre so dass ich weiterkommen kann ab danach musste ich noch einen aufzug benutzen das war ein wenig  schwierigweilig das nicht bis zuende gemacht habe ber das war o das lag o nicht an den steuerung nichtdaran dass ich nicht verstanden habe wie man das steuert und o ich muss um den aufzugb zu benutzern musste ich in der ersten person wechseln da war das alles wieder vertraut o undo danach musste ich wieder runterfahren muss der wiederhin der ersten person wechseln um den aufzug zu benutzern unde das war ganzo das habe ich gemacht dass ich mich wieder in dem aufzug benutzte befunden habe nicht dass die andere persondich gestellte sich dabefand
3,3,1,Blob,Hybrid,BlobHybrid,2,es ging wieder darum die fünf ruhten würfel zu findi d durch unterschiedliche mechanismen glockt warenbrauch nicht nur dadurch dass sich in diesem fall immersficion muss zwischen den zwei imputmethoden lassen bisschin umständlicher obwohl ich zweien besseren überblick hatte für das mehr schwerer dieaktionen  zusammenhängend auszuführen
3,1,1,Blob,Hybrid,BlobHybrid,3,im letzten abschnitt bin ich wieder durch den pakur gelaufen mit den lif zu nennen herr
3,1,1,Blob,Hybrid,BlobHybrid,4,auch hier bin ich wieder durch den verkur mit den fahrstühlen gelaufen wieder aus der dritten sich jetzt deshals die de staatenaktionen mit dem bewegenes liftspere
3,0,1,Blob,Firstperson,BlobFirstperson,3,ich bin en weiteren pakur entlang gefolgt diesmal mit vielen glitscheerscheinungen und es desten ausdrücken zu können war sehr stockig zeitweise hat es sich so angefühlt es wäre es nicht besonders a öentlich besonders nämih voll wärfwortkatn ich ein auf ielen fall war es nicht angenehm
3,1,0,Blob,Firstperson,BlobFirstperson,1,ich bin einem curviken weg entlang gefolgt um von nah nach be zu kommen
3,1,1,Blob,Firstperson,BlobFirstperson,0,ich habe gelernt wie ich mich in vial hin und herbewegen kannen und drehen kandern sollte ich mit hilfe der kontroller einen würfel auf einem tisch aufheben und mich dann wiederdrehen und bewegen zu dem corp in den ich den würfel geschmüssen ap
3,1,3,Blob,Hybrid,BlobHybrid,1,ich bin wieder den kurwigen weg entlang gelaufen mit der sert pirson diesmal wodurch ich ein widerdurch das grössere sichtfählten bis chen mehr möglichkeit hate mich währenddessen umzuschauen war ich mich auch im peripären sehen noch steuern konnte und ansonsten war es relativ gleich
3,1,1,Blob,Hybrid,BlobHybrid,0,im nütztenraum musste ich wieder einen würfel an mich zu einen tisch bewegen indem man würfel war und den würfel dann rübertransportier nur sich diesmal in der dritten person mich bewegen musste während ich interrigieren konnte nur n der ersten person
3,1,1,Blob,Firstperson,BlobFirstperson,2,im letzten raum musste ich fünf von sechs würfeln wuden würfeln in einem raumfinden einige davon waren direkt sichtbar und er mussten allerdings konnten entweder direkt aufgesammelt werden andere waren durch kleine mechanismen eingespannten die zuerstgelöst werden mussten um sie zu holen und  für einige musstma mit der umgebung noch weiter interragieren um ansieran zu kommen
3,1,1,Blob,Firstperson,BlobFirstperson,4,im letzten parkur bin ich hauptsächlich eine spindeltreppe hoch gelaufen und danach mit einem liftgefahren den ich allerdings gesteuert habe zumindest in der hochen runterbewegung zum gewissen teil
4,1,1,Avatar,Firstperson,AvatarFirstperson,4,also jetzt müsste ich das mich em gleichem bereich bewegen wie meissen fesukmgriedenexperimen denkic wo ich es malene treppe hochgehen musste dann nesleid sozusagen in untengehen musste und sobald der treppe als auch dieses slirol als platformonetrepe eewähnet man das die och die sich umkreis bei einem gebäude also man gelt nicht nur so sagen hoch sondern hrochen bischen links dann wiederhoch bis hen reh umdreinund ecetra dann müsste ich ne kein automatisches aufzug sondene monuellistaufzug zuzu sagen hochnehmen in der mich ein strücke afgehomen hab und dann musste ich ne auzugrunde nemen die wiedermanuell bantich mussen wiederne adinks erunter ergreifen und jad dann bin ich zu nuchzu in diesem raum gekommen und dass alles habe ich auf dem estern sich gemacht halt numi mein eigenen augen so sagen zu seihen wie ich biwäge alles was ich mache so wie im exist leben
4,1,1,Avatar,Firstperson,AvatarFirstperson,1,jetzt müsste ich mich er dassgleiches wi mössen versuche im esternexperiment machen in der ich mich in einem garten ein ausseinem nur bedieent so sagen ne ausgang suchte besüngswese ch absmirseim kreisgewektewodie pfall i mir gesegt haben bis ich zum ausgang gekommen bin und ja also jetzt gabsno als econal laufen also abndem falle gefolgt es gab kein wandelnde oder bewegende plattformen diesmal aber jaso links und rechts in sälm kreise müsste ich mich schon bewegen und das alls habe ich ausseesten besondersicht gemacht
4,1,0,Avatar,Hybrid,AvatarHybrid,4,ich müsste wieder eine pfahl erfolgen aber diesmal musste ich esmal trepe hochgehen die en bisschen über eine rorese zu sagen berenen gebäude a im kreiswaren dan müsste ich direkt keinen trepper untergehen sondern im keisausehende plattformsosagen eineslid also ohne trepe aber mit ich ja die kreiselbewegungen gemacht habe dan musste ich nur aufzug hochnehmen aber im vergleichs um letzteren versuch war das ganautomatische aufzug sondern man musste mit edem aufheben von dem dings e den aufzug bewegen dass ich mit dem hand angreifen musste ann als ich ausnahm auszug woraus war muss sich nur andere aufzug ihr diesmal herunternehmen die ich wieder selbst a bewegen musste mit em anheben vondem urding dem aufzug war und dann bin ich zuduk zu nemmen raum gekommen
4,1,1,Avatar,Hybrid,AvatarHybrid,3,ich müss ja wieder ein ausgang finden ausnahmsosagee bedienen berziehungsweise einen garten aber jetzt müsste ich nicht nur laufen wie die letzte mal wo die pfall de mir zeigenden sondan es gab auch andere aufgabenso zu sagen als es gafischene bewegende plattforme auf derm ich mich stelhen müsste um meine päsition zu ändern und die sich beweckt haben ich müsste auch zum beispielene aufzugnutzenden oben und später auch den unternget ich musste auch mich enaueine plattform stellen die im kreisisi bewerkt haben hat und oja ich musste auch bei eine schüttelndeplattform durchgehen und an ausnahmen ding damit ich halten um nächsten mal schnittkomme bis zen springen und ja also war der vinfall nicht nur reines laufen dieses mal
4,3,1,Avatar,Hybrid,AvatarHybrid,2,in dem raum wurden sechswirfelversteck ich musste fünf davon findern und are in einem korpsamel einige würfel war sehr einfach zu erreichen sie standen einfach so auf inem platform oderaf tisch oder wass auch himma andere musste man zum beispiel elsmal  zum guten zeitpunkt zwischen den waggelnde hindernichs zwischen der und em wirfel dann abendreinmachen um die würfel zu bekommen oder man musste einige dinge zum beispiel die kopti dieses die ein wrfelverstet hartysmal aufheben und esdan erkönnt manden würfelnehmen oder mann musste esmal die bücher aus dem regal ein bisschen rausschmeissen damitman dein würfel erreicht oder man musste zum beispiel vernommene wilfel nehmen das habe ich nicht geschafft aber könnt man auch vonwamperen indwinehmen und man musste auch ein soritel der auf dem tisch stand und inen würfel festhalten hat esmal öffnen damit man die wüffel angreifen kann und später sonam grob bringen kann
4,1,1,Avatar,Firstperson,AvatarFirstperson,0,jetzt seh ich den gleichem raum wie messenotorium aber könnte nur alls aus inem esten sicht weis sie sehen also so wie mit meinem eigenen augen ich könnte mich in dem raum bewähigen ich könnte mich so von fischenelseite alles ansähen könnte dann den würfelnehmen und denn de zunem corbringen undarloss lassen
4,1,1,Avatar,Hybrid,AvatarHybrid,1,ich war in einem garten und ich musste die pfalle auf dem boden folgen um die aubschlüss von diesem garten zu finden da waren ein bisses hin mit rechsen links bewegen die fallemen haten bisschen zu sagnung kreisig glaufen und dann meinigst zurürkinum gleichem raum gekommen wann ich die ausgank aus dem labirint sozusagen gefunden habe
4,1,1,Avatar,Hybrid,AvatarHybrid,0,desmals habe ich einen raum gesehen indem ich mich bewegen müsste dann könnte ich auch mein einsichts von drittenbesons um esternbeson und umgekehrt wechseln ich könnte mich in dem raum umsehen und in dem raum bewegen dann könnte ich auch wenn ich in s beson bin dennewürfel angreifen wenrend desen ich meine wülferets in meinem hand habel könnte ich mich wieder zum dritten bersom umstellen mich in dem raum wieder bewegen und ein wilfel in dem kiste freilassen dann könnte ich hierher in  anderen raum zu kommen
4,1,1,Avatar,Firstperson,AvatarFirstperson,3,jetzt müsste ich wieder dem ausgang finden so war es gleich im zweiten experiment imlätztes  versuch a da musse ich esmal aber alles auf meine eigenen sich zu machen also aus essemsicht ichmüsste mich auf einem einbewegende blattfor mesmals stelenlasen dann auf dem anderen dann müsste ich automäische aufzug nach oben nehmen dane plattform die sich ein bisschen im kreiselbewergt hat und mich von einer seite nach em andere zusenmn halbkreis nege gebracht hat dann war wieder sonneschüttelnde plattform oder und an hindernisseen bission untergehen musste de mitich weiterkan und dann ei wiedern aufzugen ch unten wenn ich genommen habe und dann min ich zuduch zu diesem raum gekommen
5,1,1,Blob,Firstperson,BlobFirstperson,1,AM IT WAS IN A FOREST AND I HAD TO FOLLOW THIS CERTAIN TRACK THAT WAS LAID IN FRONT OF ME YE IT WAS VERY AM IT WASN'T A STRAIGHT LINE I HAD TO GO LEFT RIGHT FRONT PARK AND SO ON A YE THINK THE THIRD PERSON WAS WEY MUH WAY EASIER
5,1,1,Blob,Hybrid,BlobHybrid,1,SO I HAD TO NAVIGAT THROUGH A FOREST BUT THEY HAVE HAD A PAVEMENT AM THAT I COULD ONLY FOLLOW THROUGH AND I HAD TO DO IT AS SOON AS I CAN
5,1,1,Blob,Firstperson,BlobFirstperson,2,SO THERE WAS A ROOM FILLED WITH AM BUNCH OF FURNITURE AND THINGS AND I HAD TO GATHER THE RED TINY BOXES AND IN ORDER TO DO THAT I HAD TO REACH OUT FOR THEM EITHER ON THE CEILING OR ON THE BOTTOM AND I HAD TO TOUCH OTHER STUFFS OTHER THAN THE RED BOXES TO GATHER THEM AND THEN AFTER I GATHERED THEM I HAD TO PUT IT IN A GIONT EMPTY BOX AN  I HAD TO DO I HAD TO GETHER FIVE OF EM OUT OF SIX
5,1,1,Blob,Hybrid,BlobHybrid,4,SO I HAD TO GO UP THE STAIRS AND JUST TURN LEFT THE WHOLE TIME AND WHEN I REACHED THE TOP I HAD TO TAKE THE ELEVATOR TO GO DOWN AGAIN AND IN THE ELEVATOR I HAVE TO E ANUALLY PULLED DOWN THE SWITCH TO GO DOWNSTAIRS AND THEN WHEN I GOT DOWNSTAIRS I MOVED TO ANOTHER ELEVATOR THAT TOOK ME UPWARDS AGAIN YES AND AM IN ORDER TO GO UP A MIN THE ELEVATOR HAD TO PULL UP THE SWITCH AND ON THE TOP FLOOR I HAD TO GO DOWN THE SPIRAL STAIR NOT IT WASN'T A STAIR BUT SPIRAL AFLOOR THAT LED ME TO GO DOWNSTAIRS YES
5,1,1,Blob,Hybrid,BlobHybrid,0,M I HAD TO PICK UP A BOX A RED BOX AND THEN MOVE IT TO A HUGE EMPTY ABOX SO THAT I CAN PUT  INSIDE THAT BOX E THE SMALL RED BOX
5,1,1,Blob,Hybrid,BlobHybrid,2,SO I HAD TO COLLI THOUGHT I HAD TO COLLECT SIX RED BOXES BUT I DIDN'T I ONLY COLLECTED FIVE WHICH WERE SO TWO OF THEM WERE ON THE LEFT SIDE OF THE ROOM AND I THINK YE I THINK THREE OF THEM WERE ON THE RIGHT SIDE OF THE ROOM NOT QUITE SURE ANY AT LEAST TWO OF THEM WERE ON THE RIGHT SIDE OF THE ROOM AND I WANTED TO GET ONE IN THE MIDDLE OF THE CEILING WHICH I DIDN'T HAVE TO AND A YE THE TASK WAS QUITE EASY I JUST HAD TO GRAB THEM OR AT LEAST KNOW WHICH DEVICE TO GRAB HOLD OF IN ORDER TO IN ORDER FOR ME TO GET THROUGH GRABBING
5,1,1,Blob,Firstperson,BlobFirstperson,4,SO I WENT UP THE STAIRCASE AM I HAD TO GO I HAVE TO TURN CONSTANTLY LEFT AND AT SOME POINT IT WAS KIND OF STUCK I COULDN'T GO UP ANYWARY BUT YE AFTER THAT I NEED TO TAKE A LITT ACTUALLY NOT SURE ANY MORE NO AM WHEN I REACHED THE TOP I HAD TO GO DOWN THE SPIRAL STAIRCASE WITHOUT STAIRS AND THEN I NEED TO TAKE ANOTHER LIFT TO GO UPSTAIRS AND THEN I NEED TO TAKE ANOTHER LIFT TO GO DOWNSTAIRS AND THEN THE EM WAS DONE
5,1,1,Blob,Hybrid,BlobHybrid,3,IGE SO IT'S GETTING HARD AN HARD  TO REMEMBER AM SO I HAD TO JUMP ON A FLOATING DOMINAL BLOCKS AM IN ORDYEA IN ORDER TO GO PAST THE FIRST OBSTACLES AND THEN I THINK I NEED TO GO INTO THE LIFT AND GO UP YES GO UP AND THEN THERE WAS ANOTHER NOT TO DIFFICULT OBSTACLE I  NEED TO GO ON TO THIS THING WHERE IT LOOKED LIKE A GRAVITATIONAL THE TWOLL I THINK ASTRONOS USED TO PRACTICE THER  OUT OF SPACE JEURNY AND THEN THERE WAS I ANOTHER FLOATING I THINK IT WAS FLOATING AT AT LEAST MOVING FLOOR THAT I HAD TO GO ON TOP OF AND THAT WOULD LEAD ME TO ANOTHER LIFT THAT WOULD TAKE ME DOWNSTAIRS AND FROM DOWNSTAIRS IT WAS QUITE AN EASY PATH TO GO THROUGH AM YE
5,1,1,Blob,Firstperson,BlobFirstperson,0,SO I HAD TO PICK UP A RED TINY BOX FROM A DESK SHAPED THING AND THEN MOVED THAT BOX INTO AN HUGE EMPTY BOX AND PUT THE RED TINY BOX INSIDE IT
5,1,1,Blob,Firstperson,BlobFirstperson,3,SO I HAD TO JUMP ON A FLOATING BLOCK AND THEN THE FIRST OBSTACLE WAS DONE AND THEN I HAD TO GO INTO A LIVERLER AND THEN GO UP AND THEN THERE WAS I NEED TO GO THROUGH THIS THINK A BLOCK ALSO FLOATING ON THE WATER AND THEN I WENT TO THIS GIGANTIC GRAVITY SIMULATION THING AM TO GO TO THE ONTHER SIDE TO GO ACROSS IT AM AND THEN I CROSSED THIS VERY WEIRD VERY DIZZY ACTUALLY THAT POR CAUSE I WAS CONSTANTLY MOVING AL I HAD TO CROSS ONE PART IT WAS CONSEY MOVING AND THEN AFTER THAT I HAD TO TAKE A LIFT DOWNSTAIRS AND  I ITHINK THAT WAS PRACTICALLY IT 
6,1,1,Avatar,Firstperson,AvatarFirstperson,3,also diesmal esmal habe ich alsen n dorgesehen sich bewerkt ich musste zu diesem druck einsansteigen ich habe mgrade bewergt dann tyrok mit anderem blok dann musse ie farrstuhlnutzen aber diesmal aun daste sich automatisch bewerkt dan gib[UNK]s andere blog der haten sich nicht grode und turubewerg sondern son eer ein halbbrunder gemacht dann musste ich noch einen farstuhlnutzen e hat auch aftomatisch funktioniert ja das war alles
6,1,1,Avatar,Hybrid,AvatarHybrid,1,dies mal dier ofcab awar ganz einfach ich scheun in die rolle auch in rithepersonin chunsteison mi durch den wertbewergen muss den nugrade gehen manschmit leyilingto draigs drain
6,0,0,Avatar,Firstperson,AvatarFirstperson,0,   
6,1,0,Avatar,Hybrid,AvatarHybrid,3,also diesmal würde ich müsst sich auch wieder im dritten persondsein muss sich auch an sich auch so entlang dem wert bewergen da auch so dauf diese blog benutzt um groder und ein terokt zu gehen dann habe ich auch fahrstohl benutzt dann habe ich auch ein burgbenutz n der nisition eine wenn halbrunder bewerkt ja das war alles
6,1,1,Avatar,Hybrid,AvatarHybrid,4,also dies meinuwar ich auch in in eine rolle von dritter person musste ich viele verschiedene tapper nutzen ein einsser obene unten zu gehen musse ich deinmet fahrstell nutzen ndman das lybischen schwierige ich n ine rolle von treter persone war muss ich auchso enmen meinnmein rolig meine rolle oft endern weil ich musste verschiedenen sotasten druckeln eines obision schwirgihfindels s estsmal wenn gleich em sineri
6,1,1,Avatar,Hybrid,AvatarHybrid,2,alsdo diesmalig hatte die aufgobe of fünfundsechs rote wilfel zu finden d dann idiciste zu bringen und diesmal ich schwieder resoltischen einfachei des lerztes mal wollih in einen form von drinenpersorn war ich ich hate schon verstanden ich hatte schon eine rüchtige strategie wi das en musterde die waren alle in viele verschiedene position n den michte auch andere abiactebision bewerk zu bewegen die diese wufel rihan aber das sonderengs gut funktioniert t send problem los
6,3,1,Avatar,Hybrid,AvatarHybrid,0,alsie jetzt musste ich zweirolle spielen also ch waso einen eigenen kooper und ich könnte das in dritter position sen mein körpersten njezi schmusste ein rup fürnanman und dann indy kista ö zum ceste bringen und dort lasson also alles was ich machen musste und schmusste auch zwischen dieser positionen sic svom dritten und ersten personwercseln
6,1,3,Avatar,Firstperson,AvatarFirstperson,4,so diesmal muss ich auh den werk folgen es gabt viele traiper viele verschiedene trapern ich muss du dann mantung einsteigenden en hintergehen ich musste auch zweimal forstel nutzen einmal oberninmel untern  ich hch hatte auch ein farstoole benutzt um zum einen tum einzusteigen u wider die aufgabe worn so shwe  ganz intuiriv ich habu gins gute emission bekommt zu seinenteressant schwinden
6,1,1,Avatar,Firstperson,AvatarFirstperson,1,soich musste mer groder bewergen dann manchmal ling to d reks traien ich musste neuen an werkein nergfolgen dürfte nicht so aus aussteigen dich hate ich hatte keine sturungen über keine problemen damit so ganz aufgabe ich h ich hate auch viele boume gesehen verschiedenen schaftern desagens gut aus naund ischmusster nun so blaue linie folgen
7,1,1,Blob,Firstperson,BlobFirstperson,1,ich bin  einem sich durch einen grünen garten mit vielen bohm und steinen und büschen  schlängelnden holzweg e so schnell wie möglich in den nächsten raum gefolgt
7,1,1,Blob,Firstperson,BlobFirstperson,2,im letzten raum habe ich zuerst einen roten würfel von einer blauen säule  aus in die blaue kiste  getan dann als nächstes ein würfel der unter einem kob versteckt war e musste ich den kop  erst zuseite heben und dann den würf horausholen und in die blaue kiste tun als nächstes  habe ich einen würfel geholt der e eingeklämmt war wo ich erst eine schraubelösen musste und dann den eamhochhebnmusste unter dem der würfel eingeklemmt war und den an em in die blaue truhe tun  dann  muss sich noch ein würfel der  hinter einem torwar was auf hinzugegangen ist rausholen er und als letztes einen würfel der hinter einem  e schwarzen glas e versteckt war neben dem bücher standender musse ich die bücher zurseite tun um den würf elraushulen und dann in die blaue kistetun
7,1,1,Blob,Firstperson,BlobFirstperson,4,als erstes bin ich eine treppe hoch gegangen die auch ich glaube zweimal abgeknickt ist em dan om angekommen gab es eine  spirale runter die man gehen musste e genau diese ich glaub einma oder zwei mal so quasigedreht hat ond dan er musslich zu einem aufzuggehen der durch einen hebelbedient e werden konnte am den hebel aber ich betätigt bin hochgefahren  und dann auf der anderen seite des gebäudes gabs noch mal einen aufzug mit dem man wieder herunterfahren konnte das auch über einen hebel bedient wurde
